Window_Size,Precomp_Points,Memory_Bytes,Avg_Time_ns,Avg_Adds,Avg_Doubles,Avg_Total_Ops
1,1,96,14450.20,8.98,17.97,26.95
2,2,192,11994.59,5.75,17.42,23.18
3,4,384,10614.32,4.14,16.60,20.74
4,8,768,9496.56,3.17,15.60,18.77
5,16,1536,7902.84,2.28,13.53,15.81
6,32,3072,7031.33,1.83,12.85,14.68
7,64,6144,6692.23,1.69,12.83,14.52
8,128,12288,6313.60,1.59,12.43,14.01
