Window_Size,Precomp_Points,Memory_Bytes,Avg_Time_ns,Avg_Adds,Avg_Doubles,Avg_Total_Ops
1,1,96,15929.38,8.98,17.97,26.95
2,3,288,12400.73,5.75,17.44,23.19
3,5,480,10957.62,4.17,16.71,20.88
4,7,672,10323.90,4.03,15.43,19.46
5,12,1152,9300.85,3.57,14.08,17.65
6,19,1824,8049.42,3.25,12.39,15.64
7,32,3072,8091.60,3.27,12.46,15.72
8,55,5280,7711.37,3.28,12.19,15.47
